step,0.2500,0.5000,1.0000,2.0000,4.0000
0,0.1,0.0,0.15,0.05,0.05
1,0.05,0.1,0.05,0.15,0.1
2,0.05,0.15,0.2,0.2,0.15
3,0.05,0.25,0.15,0.1,0.2
4,0.15,0.1,0.1,0.2,0.1
5,0.3,0.05,0.25,0.0,0.15
6,0.15,0.1,0.05,0.05,0.1
7,0.05,0.1,0.15,0.05,0.1
8,0.15,0.05,0.0,0.05,0.1
9,0.2,0.15,0.05,0.2,0.05
10,0.1,0.1,0.1,0.05,0.2
11,0.05,0.05,0.1,0.1,0.1
12,0.05,0.05,0.0,0.2,0.15
13,0.1,0.15,0.05,0.1,0.05
14,0.05,0.15,0.0,0.0,0.1
15,0.05,0.15,0.1,0.15,0.05
16,0.05,0.1,0.1,0.25,0.1
17,0.05,0.2,0.05,0.05,0.1
18,0.05,0.15,0.05,0.2,0.1
19,0.05,0.15,0.2,0.0,0.05
